X,Y,Z
243431.841,1717607.088,400.372
243431.841,1717607.088,402.872
243424.341,1717602.088,405.372
243424.341,1717604.588,405.372
243424.341,1717607.088,405.372
243426.841,1717604.588,405.372
243426.841,1717607.088,405.372
243429.341,1717607.088,405.372
243434.341,1717572.088,382.872
243436.841,1717572.088,382.872
243434.341,1717574.588,382.872
243436.841,1717574.588,382.872
243436.841,1717577.088,382.872
243439.341,1717572.088,382.872
243439.341,1717574.588,382.872
243439.341,1717577.088,382.872
243441.841,1717574.588,382.872
243441.841,1717577.088,382.872
243434.341,1717569.588,385.372
243434.341,1717569.588,387.872
243434.341,1717572.088,385.372
243434.341,1717572.088,387.872
243436.841,1717569.588,385.372
243436.841,1717569.588,387.872
243436.841,1717572.088,385.372
243436.841,1717572.088,387.872
243434.341,1717569.588,390.372
243434.341,1717569.588,392.872
243434.341,1717572.088,390.372
243434.341,1717572.088,392.872
243436.841,1717569.588,390.372
243436.841,1717569.588,392.872
243436.841,1717572.088,390.372
243436.841,1717572.088,392.872
243434.341,1717574.588,385.372
243434.341,1717574.588,387.872
243434.341,1717577.088,385.372
243434.341,1717577.088,387.872
243436.841,1717574.588,385.372
243436.841,1717574.588,387.872
243436.841,1717577.088,385.372
243436.841,1717577.088,387.872
243434.341,1717574.588,390.372
243434.341,1717574.588,392.872
243434.341,1717577.088,390.372
243434.341,1717577.088,392.872
243436.841,1717574.588,390.372
243436.841,1717574.588,392.872
243436.841,1717577.088,390.372
243436.841,1717577.088,392.872
243439.341,1717569.588,385.372
243439.341,1717569.588,387.872
243439.341,1717572.088,385.372
243439.341,1717572.088,387.872
243441.841,1717569.588,385.372
243441.841,1717569.588,387.872
243441.841,1717572.088,385.372
243441.841,1717572.088,387.872
243439.341,1717569.588,390.372
243439.341,1717569.588,392.872
243439.341,1717572.088,390.372
243439.341,1717572.088,392.872
243441.841,1717569.588,390.372
243441.841,1717569.588,392.872
243441.841,1717572.088,390.372
243441.841,1717572.088,392.872
243439.341,1717574.588,385.372
243439.341,1717574.588,387.872
243439.341,1717577.088,385.372
243439.341,1717577.088,387.872
243441.841,1717574.588,385.372
243441.841,1717574.588,387.872
243441.841,1717577.088,385.372
243441.841,1717577.088,387.872
243439.341,1717574.588,390.372
243439.341,1717574.588,392.872
243439.341,1717577.088,390.372
243439.341,1717577.088,392.872
243441.841,1717574.588,390.372
243441.841,1717574.588,392.872
243441.841,1717577.088,390.372
243441.841,1717577.088,392.872
243436.841,1717579.588,382.872
243439.341,1717579.588,382.872
243439.341,1717582.088,382.872
243441.841,1717579.588,382.872
243441.841,1717582.088,382.872
243441.841,1717584.588,382.872
243434.341,1717579.588,385.372
243434.341,1717579.588,387.872
243434.341,1717582.088,385.372
243434.341,1717582.088,387.872
243436.841,1717579.588,385.372
243436.841,1717579.588,387.872
243436.841,1717582.088,385.372
243436.841,1717582.088,387.872
243434.341,1717579.588,390.372
243434.341,1717579.588,392.872
243434.341,1717582.088,390.372
243434.341,1717582.088,392.872
243436.841,1717579.588,390.372
243436.841,1717579.588,392.872
243436.841,1717582.088,390.372
243436.841,1717582.088,392.872
243434.341,1717584.588,387.872
243434.341,1717587.088,387.872
243436.841,1717584.588,385.372
243436.841,1717584.588,387.872
243436.841,1717587.088,385.372
243436.841,1717587.088,387.872
243434.341,1717584.588,390.372
